image_id,tract,parent_tract,risk_tier,min_distance_px,proximity_score,initial_score,final_recurrence_score
1,tract_1_p1,tract_1,none,147.14,0.0,0.0,0.24
1,tract_1_p2,tract_1,none,125.4,0.0,0.0,0.24
1,tract_1_p3,tract_1,none,106.83,0.0,0.0,0.24
1,tract_1_p4,tract_1,none,84.85,0.0,0.0,0.24
1,tract_2_p1,tract_2,none,66.71,0.0,0.0,0.02
1,tract_2_p2,tract_2,none,51.92,0.0,0.0,0.02
1,tract_2_p3,tract_2,none,50.0,0.0,0.0,0.02
1,tract_2_p4,tract_2,none,54.71,0.0,0.0,0.02
1,tract_3_p1,tract_3,none,113.6,0.0,0.0,0.22
1,tract_3_p2,tract_3,none,140.73,0.0,0.0,0.22
1,tract_3_p3,tract_3,none,174.61,0.0,0.0,0.22
1,tract_3_p4,tract_3,none,205.53,0.0,0.0,0.22
1,tract_4_p1,tract_4,none,40.0,0.0,0.0,1.36
1,tract_4_p2,tract_4,none,58.0,0.0,0.0,1.36
1,tract_4_p3,tract_4,none,76.0,0.0,0.0,1.36
1,tract_4_p4,tract_4,none,94.0,0.0,0.0,1.36
1,tract_5_p1,tract_5,none,49.0,0.0,0.0,5.17
1,tract_5_p2,tract_5,none,85.0,0.0,0.0,5.17
1,tract_5_p3,tract_5,none,121.0,0.0,0.0,5.17
1,tract_5_p4,tract_5,none,157.0,0.0,0.0,5.17
1,tract_6_p1,tract_6,very_high,0.0,0.314,21.73,7.9
1,tract_6_p2,tract_6,very_high,0.0,0.827,59.37,21.59
1,tract_6_p3,tract_6,very_high,0.0,0.559,42.05,15.29
1,tract_6_p4,tract_6,high,3.0,0.072,4.67,1.7
1,tract_7_p1,tract_7,none,131.24,0.0,0.0,4.86
1,tract_7_p2,tract_7,none,104.0,0.0,0.0,4.86
1,tract_7_p3,tract_7,none,78.0,0.0,0.0,4.86
1,tract_7_p4,tract_7,none,51.0,0.0,0.0,4.86
1,tract_8_p1,tract_8,none,49.0,0.0,0.0,0.0
1,tract_8_p2,tract_8,none,32.0,0.0,0.0,0.0
1,tract_8_p3,tract_8,low,15.0,0.0,0.0,0.0
1,tract_8_p4,tract_8,very_high,1.0,0.046,2.91,6.06
