tract,iou,alignment,recurrence_score,image_group,initial_label,label_spread_prediction
tract_1,0.0,0.624,11.0,30_214_522,1,1
tract_2,0.0,0.27,25.48,30_214_522,1,1
tract_3,0.031,0.397,63.52,30_214_522,1,1
tract_4,0.0,0.994,0.0,30_214_522,0,0
tract_5,0.0,0.453,0.0,30_214_522,0,0
tract_6,0.0,0.089,0.0,30_214_522,0,0
tract_7,0.0,0.52,0.0,30_214_522,0,0
tract_8,0.0,0.877,0.0,30_214_522,0,0
tract_1,0.0,0.985,3.62,30_216_482,0,0
tract_2,0.0,0.273,8.4,30_216_482,0,0
tract_3,0.054,0.948,34.25,30_216_482,1,1
tract_4,0.099,0.592,29.6,30_216_482,1,1
tract_5,0.0,0.938,17.48,30_216_482,1,1
tract_6,0.0,0.196,4.6,30_216_482,0,0
tract_7,0.0,0.955,1.92,30_216_482,0,0
tract_8,0.0,0.215,0.13,30_216_482,0,0
tract_1,0.0,0.725,23.53,30_220_306,-1,1
tract_2,0.002,0.008,54.58,30_220_306,-1,1
tract_3,0.0,0.895,21.89,30_220_306,-1,1
tract_4,0.0,0.157,0.0,30_220_306,-1,0
tract_5,0.0,0.821,0.0,30_220_306,-1,0
tract_6,0.0,0.177,0.0,30_220_306,-1,0
tract_7,0.0,0.781,0.0,30_220_306,-1,0
tract_8,0.0,0.525,0.0,30_220_306,-1,0
tract_1,0.0,0.88,23.53,30_225_313,-1,1
tract_2,0.006,0.036,54.58,30_225_313,-1,1
tract_3,0.0,0.981,21.89,30_225_313,-1,1
tract_4,0.0,0.118,0.0,30_225_313,-1,0
tract_5,0.0,0.927,0.0,30_225_313,-1,0
tract_6,0.0,0.197,0.0,30_225_313,-1,0
tract_7,0.0,0.906,0.0,30_225_313,-1,0
tract_8,0.0,0.274,0.0,30_225_313,-1,0
tract_1,0.0,0.194,2.6,30_226_446,-1,0
tract_2,0.002,0.086,6.45,30_226_446,-1,0
tract_3,0.01,0.451,24.53,30_226_446,-1,1
tract_4,0.17,0.558,36.59,30_226_446,-1,1
tract_5,0.0,0.369,21.61,30_226_446,-1,1
tract_6,0.0,0.084,5.68,30_226_446,-1,0
tract_7,0.0,0.299,2.38,30_226_446,-1,0
tract_8,0.0,0.923,0.16,30_226_446,-1,0
tract_1,0.213,0.973,62.33,30_243_164,-1,1
tract_2,0.0,0.257,26.87,30_243_164,-1,1
tract_3,0.0,0.979,10.79,30_243_164,-1,1
tract_4,0.0,0.472,0.0,30_243_164,-1,0
tract_5,0.0,0.957,0.0,30_243_164,-1,0
tract_6,0.0,0.201,0.0,30_243_164,-1,0
tract_7,0.0,0.964,0.0,30_243_164,-1,0
tract_8,0.0,0.097,0.0,30_243_164,-1,0
tract_1,0.0,0.058,0.0,30_265_347,-1,0
tract_2,0.0,0.145,0.0,30_265_347,-1,0
tract_3,0.0,0.226,0.0,30_265_347,-1,0
tract_4,0.0,0.864,0.0,30_265_347,-1,0
tract_5,0.0,0.131,0.0,30_265_347,-1,0
tract_6,0.0,0.03,0.0,30_265_347,-1,0
tract_7,0.0,0.055,0.0,30_265_347,-1,0
tract_8,0.0,0.989,0.0,30_265_347,-1,0
tract_1,0.0,0.942,0.0,30_269_301,-1,0
tract_2,0.0,0.212,0.0,30_269_301,-1,0
